originalfield,metadatablock,metadatafield,id,subfield,level,type
"/record/metadata/ddi:codeBook/ddi:docDscr/ddi:citation/ddi:prodStmt/ddi:producer",citation,distributor,1,distributorName,0,primitive
"/record/metadata/ddi:codeBook/ddi:docDscr/ddi:citation/ddi:holdings/@URI",citation,distributor,1,distributorURL,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:titlStmt/ddi:titl",citation,title,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:titlStmt/ddi:parTitl",citation,title,1,"subtitle",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:titlStmt/ddi:parTitl",citation,alternativeTitle,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:titlStmt/ddi:IDNo",citation,datasetPersistentId,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:rspStmt/ddi:AuthEnty",citation,author,1,authorName,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:rspStmt/ddi:AuthEnty/@affiliation",citation,author,1,authorAffiliation,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:citation/ddi:rspStmt/ddi:othId",citation,contributor,1,contributorName,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:subject/ddi:keyword",citation,keyword,1,keywordValue,1,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:subject/ddi:topcClas",citation,topic,1,term,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:subject/ddi:topcClas/@vocab",citation,topicClassification,1,topicClassVocab,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:abstract",citation,dsDescription,1,dsDescriptionValue,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:collDate",citation,dateOfCollection,1,"dateOfCollectionStart",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:timePrd",citation,timePeriodCovered,1,timePeriodCoveredStart,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:nation",geospatial,geographicCoverage,1,country,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:geoCover",geospatial,geographicCoverage,1,other,0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:geoUnit",geospatial,geographicUnit,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:anlyUnit",socialscience,unitOfAnalysis,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:universe",socialscience,universe,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:stdyInfo/ddi:sumDscr/ddi:dataKind",citation,kindOfData,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:timeMeth",socialscience,timeMethod,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:datacollector",socialscience,dataCollector,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:frequenc",socialscience,frequencyOfDataCollection,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:sampProc",socialscience,samplingProcedure,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:collMode",socialscience,collectionMode,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:resInstru",socialscience,researchInstrument,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:collSitu",socialscience,dataCollectionSituation,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:actMin",socialscience,actionsToMinimizeLoss,1,"",0,primitive
"/record/metadata/ddi:codeBook/ddi:stdyDscr/ddi:method/ddi:dataColl/ddi:weight",socialscience,weighting,1,"",0,primitive
